      ,Contrast,Brightness,Saturation,Hue,Repeated Colors
Images/cats\cat_33,0.5580435330366239,0.5355295999999999,0.2101216156862745,0.13836942745098038,"[(245, 247, 246), (230, 232, 229), (229, 231, 228), (232, 234, 233), (228, 230, 227)]"
Images/cats\cat_34,0.5302692496152651,0.6041536,0.2296885333333333,0.14213323921568627,"[(237, 239, 238), (238, 240, 239), (238, 238, 236), (237, 237, 235), (239, 241, 240)]"
Images/cats\cat_35,0.2541985732833799,0.7111756705882353,0.05801833725490196,0.25733927843137255,"[(198, 204, 202), (199, 205, 203), (200, 206, 204), (201, 207, 205), (197, 203, 201)]"
Images/cats\cat_36,0.26300087871765226,0.6130316705882353,0.1599342901960784,0.0979380862745098,"[(177, 178, 173), (176, 177, 172), (175, 174, 169), (183, 182, 177), (176, 175, 170)]"
Images/cats\cat_37,0.262795649003568,0.7430534117647059,0.05530407843137255,0.3445513882352941,"[(206, 212, 212), (217, 223, 223), (205, 211, 211), (218, 224, 224), (207, 215, 217)]"
Images/cats\cat_38,0.42486883735133746,0.4606674823529412,0.12822249411764705,0.2265914823529412,"[(4, 2, 5), (5, 3, 6), (150, 151, 153), (153, 154, 156), (155, 156, 158)]"
Images/cats\cat_39,0.4586860716676648,0.49849658039215683,0.13143530980392154,0.15431974901960782,"[(173, 172, 168), (174, 173, 169), (175, 174, 170), (172, 171, 167), (176, 175, 171)]"
Images/cats\cat_40,0.3343841852392994,0.6218175215686275,0.07590398431372548,0.3056282666666667,"[(195, 201, 201), (196, 202, 202), (188, 194, 194), (187, 193, 193), (192, 198, 198)]"
Images/cats\cat_41,0.4859495904832858,0.5781197960784313,0.2468518117647059,0.1303030745098039,"[(229, 231, 228), (228, 230, 227), (243, 245, 244), (242, 244, 243), (227, 229, 226)]"
Images/cats\cat_42,0.42528426910423844,0.6504737725490196,0.13079822745098038,0.16875356862745097,"[(240, 242, 241), (239, 241, 240), (237, 239, 238), (236, 238, 237), (238, 240, 239)]"
Images/cats\cat_43,0.368378123415084,0.5643486588235294,0.08924687058823529,0.20996525490196077,"[(189, 193, 192), (188, 192, 191), (189, 195, 195), (189, 191, 188), (188, 190, 187)]"
Images/cats\cat_44,0.26160725707409904,0.6682424470588235,0.10858666666666666,0.1861596549019608,"[(204, 212, 214), (191, 197, 197), (192, 194, 191), (190, 196, 196), (190, 192, 189)]"
Images/cats\cat_45,0.7543102590735105,0.3342299450980392,0.2569148549019608,0.19597396078431373,"[(17, 13, 10), (11, 7, 6), (10, 8, 9), (12, 8, 7), (19, 14, 11)]"
Images/cats\cat_46,0.6391202170403223,0.33697223529411763,0.36102185098039213,0.21601582745098039,"[(182, 182, 180), (181, 181, 179), (188, 188, 186), (186, 186, 184), (179, 179, 177)]"
Images/cats\cat_47,0.29593927824358907,0.4308431372549019,0.033795576470588236,0.43143835294117644,"[(116, 117, 119), (118, 119, 121), (115, 116, 118), (117, 118, 120), (113, 114, 116)]"
Images/cats\cat_48,0.365618386262216,0.4992692862745098,0.48543236078431373,0.03829400784313725,"[(197, 165, 140), (180, 149, 128), (179, 148, 127), (203, 171, 146), (181, 150, 129)]"
Images/cats\cat_49,0.3288493283456437,0.4855191215686274,0.35031013333333333,0.05525141960784314,"[(202, 183, 166), (205, 184, 167), (201, 175, 158), (204, 183, 166), (199, 180, 163)]"
Images/cats\cat_50,2.1651521064572576,0.07301888627450981,0.5460890980392156,0.2578308392156863,"[(0, 0, 0), (1, 5, 6), (0, 4, 5), (1, 2, 4), (2, 6, 7)]"
Images/cats\cat_51,0.2147827677545149,0.5031845960784314,0.4607569725490196,0.05714676078431372,"[(156, 115, 71), (154, 113, 69), (155, 114, 70), (154, 113, 67), (157, 116, 72)]"
Images/cats\cat_52,0.4265436509730038,0.5875815215686274,0.1189105725490196,0.2431307137254902,"[(47, 45, 56), (46, 44, 55), (48, 46, 57), (49, 47, 58), (50, 47, 58)]"
Images/cats\cat_53,0.665679150800229,0.23771418039215686,0.3269898509803922,0.3009140078431372,"[(10, 26, 26), (11, 27, 27), (12, 30, 30), (11, 29, 29), (9, 27, 27)]"
Images/cats\cat_54,0.3446040957421568,0.7220949176470588,0.2902149176470588,0.20889559215686274,"[(255, 255, 255), (240, 244, 253), (242, 245, 250), (254, 254, 254), (239, 243, 252)]"
Images/cats\cat_55,0.4605384223063779,0.5924023529411765,0.3159150901960784,0.19947653333333332,"[(254, 255, 247), (254, 255, 249), (254, 255, 245), (248, 255, 248), (255, 254, 249)]"
Images/cats\cat_56,0.33014992850864394,0.6729437647058824,0.10006392156862744,0.19477941960784312,"[(255, 255, 255), (253, 253, 253), (254, 254, 254), (252, 252, 252), (251, 251, 251)]"
Images/cats\cat_57,0.5181941787087437,0.44078236862745096,0.5087839529411764,0.2145522980392157,"[(23, 23, 23), (22, 22, 22), (21, 21, 21), (24, 24, 24), (148, 2, 64)]"
Images/cats\cat_58,0.3869371752471187,0.5556213019607843,0.49723847843137253,0.0631285019607843,"[(226, 192, 146), (252, 223, 191), (227, 193, 147), (216, 184, 143), (214, 176, 129)]"
Images/cats\cat_59,0.6080314143315948,0.4041170980392157,0.20124621176470586,0.2893517019607843,"[(6, 6, 8), (7, 7, 9), (8, 8, 10), (6, 7, 9), (7, 8, 10)]"
Images/cats\cat_60,0.2996704250280203,0.6029546509803921,0.2049246588235294,0.27977996862745097,"[(184, 188, 197), (183, 186, 191), (183, 187, 196), (185, 189, 198), (182, 186, 195)]"
Images/cats\cat_61,0.37215856023458355,0.6511539450980391,0.1274269019607843,0.32352003137254903,"[(223, 222, 227), (222, 221, 226), (221, 220, 225), (225, 224, 229), (220, 219, 224)]"
Images/cats\cat_62,0.4299411845151226,0.3966988078431372,0.3042858196078431,0.24403752156862746,"[(9, 8, 6), (10, 9, 7), (11, 10, 8), (13, 9, 6), (15, 11, 8)]"
Images/cats\cat_63,0.5056567106589065,0.5442329098039216,0.31786475294117644,0.17578139607843138,"[(255, 255, 255), (254, 254, 254), (82, 47, 19), (253, 253, 253), (87, 51, 19)]"
Images/cats\cat_64,0.6686760825699177,0.416208768627451,0.5510074196078432,0.08439687843137254,"[(17, 11, 13), (16, 10, 12), (15, 9, 11), (37, 24, 15), (18, 12, 14)]"
Images/cats\cat_65,0.6029495776267988,0.3978110588235294,0.37804316862745097,0.06110776470588235,"[(189, 177, 161), (24, 13, 11), (23, 12, 10), (194, 187, 171), (192, 185, 169)]"
Images/cats\cat_66,0.4930671812720787,0.5658881411764705,0.059676799999999995,0.16918058039215686,"[(224, 224, 224), (222, 222, 222), (223, 223, 223), (221, 221, 221), (220, 220, 220)]"
Images/cats\cat_67,0.7965208858286797,0.29892318431372544,0.22891796078431373,0.17159654901960786,"[(7, 7, 5), (6, 6, 4), (5, 5, 3), (8, 8, 6), (9, 9, 7)]"
Images/cats\cat_68,0.2411451236132722,0.6856660549019608,0.2295699450980392,0.1847396549019608,"[(227, 231, 234), (224, 229, 233), (225, 230, 234), (228, 232, 235), (223, 228, 232)]"
Images/cats\cat_69,0.6104823459267588,0.45749258039215684,0.1959116705882353,0.1660102901960784,"[(211, 197, 170), (223, 215, 196), (222, 214, 195), (226, 219, 201), (224, 216, 203)]"
Images/cats\cat_70,0.5402546089622214,0.2752730039215686,0.2247247843137255,0.14995749019607843,"[(26, 28, 27), (25, 27, 26), (22, 34, 34), (22, 21, 19), (21, 33, 33)]"
Images/cats\cat_71,0.33983538882378483,0.4235393568627451,0.3119650196078431,0.0654864,"[(145, 117, 103), (145, 117, 105), (144, 116, 104), (146, 118, 104), (133, 105, 91)]"
Images/cats\cat_72,0.2168643656015249,0.6476657725490196,0.5621931294117646,0.06761557647058823,"[(225, 165, 69), (219, 167, 81), (208, 156, 72), (226, 166, 70), (218, 166, 80)]"
Images/cats\cat_73,0.2535963124187899,0.8295184,0.15492293333333332,0.16037607843137253,"[(254, 254, 254), (247, 248, 250), (248, 249, 251), (246, 247, 249), (240, 245, 248)]"
Images/cats\cat_74,0.4835022684318068,0.48548825098039217,0.2820725333333333,0.09555637647058822,"[(157, 152, 146), (158, 153, 147), (221, 220, 218), (159, 154, 148), (164, 159, 153)]"
Images/cats\cat_75,0.5083051758411149,0.34672349803921565,0.3606451137254902,0.1980358431372549,"[(126, 127, 132), (125, 126, 131), (124, 125, 130), (120, 121, 126), (128, 129, 134)]"
Images/cats\cat_76,0.6524468302612236,0.36176371764705884,0.3815500078431372,0.09494925490196078,"[(1, 1, 1), (2, 2, 2), (3, 3, 3), (0, 0, 0), (125, 116, 111)]"
Images/cats\cat_77,0.5609245034076257,0.280361537254902,0.7704162666666666,0.08042254117647059,"[(1, 1, 1), (2, 2, 2), (0, 0, 0), (3, 3, 3), (4, 4, 4)]"
Images/cats\cat_78,0.5148189626482903,0.32326980392156857,0.15195832156862746,0.2831150901960784,"[(91, 85, 85), (92, 86, 86), (90, 84, 84), (39, 46, 54), (93, 87, 87)]"
Images/cats\cat_79,0.7869112016555819,0.14565374117647056,0.07323774117647058,0.14483516862745097,"[(27, 27, 27), (28, 28, 28), (26, 26, 26), (29, 29, 29), (27, 29, 28)]"
